what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608265989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608286485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608288343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608317924
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1396608317953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608321938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608323588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608323616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608324420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608324450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608325203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608325284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608325448
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1396608328468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608329019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608336468
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396608336501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608352597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608354966
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396608354993
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396608366105
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396608366273
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396608366421
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396608366739
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396608367333
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396608367490
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396608367574
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1396608378909
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1396608379316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396608395920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396608404799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608408306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396608408374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396608428888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1396608430475
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396608430701
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396608430856
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1396608431010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396608434151
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396608434460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396608438372
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1396608456164
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1396608456315
